"1,000 Frenchmen",,,1
"1,000 ships of all kinds",,,1
20 divisions,,,1
"21st March, 1918",1918年3月21日,DATE,1
220 light warships,,QUANTITY,1
"30,000 men",,,2
"335,000 men",,,1
60th Rifles,,ORDINAL,1
Fifth Column activities,,,1
First Army,,,1
First French Army,,,1
One aeroplane,,,1
Sundays,,DATE,1
Twelve aeroplanes,,,1
a few months,,DATE,1
a week ago,,DATE,3
a week ago today,,DATE,1
a year,,DATE,1
an agonising week,,DATE,1
an hour,,TIME,1
days,,DATE,1
first,,ORDINAL,2
four days of intense street fighting,,DATE,1
four or five days,,DATE,1
more than 30 miles,,QUANTITY,1
one choice,,,1
one formation,,,1
one way,,,1
one-quarter,,DATE,1
some day,,DATE,1
the days of Napoleon,,DATE,1
the end of the second week of May,,DATE,1
the later years of the war,,DATE,1
the next day,,DATE,1
the opening days of the battle of 21st March,,DATE,1
third of the men,,,1
this afternoon,,TIME,1
thousand airmen,,,1
three corps,,,1
three divisions,,,1
three fronts,,,1
today,,DATE,1
years,,DATE,1
